Crypto,Price,Time
Bitcoin,95170.6,2025-11-14 19:35:08.627017
Ethereum,3119.68,2025-11-14 19:35:08.627017
BNB,905.64,2025-11-14 19:35:08.627017
Solana,137.75,2025-11-14 19:35:08.627017
XRP,2.27,2025-11-14 19:35:08.627017
Dogecoin,0.1596,2025-11-14 19:35:08.627017
Bitcoin,95106.29,2025-11-14 19:36:17.400404
Ethereum,3119.08,2025-11-14 19:36:17.400404
BNB,905.68,2025-11-14 19:36:17.400404
Solana,138.89,2025-11-14 19:36:17.400404
XRP,2.27,2025-11-14 19:36:17.400404
Dogecoin,0.1596,2025-11-14 19:36:17.400404
Bitcoin,95065.26,2025-11-14 19:37:26.273358
Ethereum,3119.35,2025-11-14 19:37:26.273358
BNB,905.61,2025-11-14 19:37:26.273358
Solana,138.88,2025-11-14 19:37:26.273358
XRP,2.26,2025-11-14 19:37:26.273358
Dogecoin,0.1596,2025-11-14 19:37:26.273358
Bitcoin,95065.26,2025-11-14 19:38:35.702953
Ethereum,3119.35,2025-11-14 19:38:35.702953
BNB,905.61,2025-11-14 19:38:35.702953
Solana,138.88,2025-11-14 19:38:35.702953
XRP,2.26,2025-11-14 19:38:35.702953
Dogecoin,0.1596,2025-11-14 19:38:35.702953
Bitcoin,95515.02,2025-11-14 19:39:44.539230
Ethereum,3134.03,2025-11-14 19:39:44.539230
BNB,906.41,2025-11-14 19:39:44.539230
Solana,138.88,2025-11-14 19:39:44.539230
XRP,2.26,2025-11-14 19:39:44.539230
Dogecoin,0.1596,2025-11-14 19:39:44.539230
Bitcoin,95515.02,2025-11-14 19:40:53.361522
Ethereum,3134.03,2025-11-14 19:40:53.361522
BNB,906.41,2025-11-14 19:40:53.361522
Solana,138.88,2025-11-14 19:40:53.361522
XRP,2.26,2025-11-14 19:40:53.361522
Dogecoin,0.1596,2025-11-14 19:40:53.361522
Bitcoin,95592.09,2025-11-14 19:41:57.431979
Ethereum,3140.55,2025-11-14 19:41:57.431979
BNB,909.09,2025-11-14 19:41:57.431979
Solana,138.88,2025-11-14 19:41:57.431979
XRP,2.26,2025-11-14 19:41:57.431979
Dogecoin,0.1596,2025-11-14 19:41:57.431979
Bitcoin,95592.09,2025-11-14 19:43:01.570180
Ethereum,3140.55,2025-11-14 19:43:01.570180
BNB,909.09,2025-11-14 19:43:01.570180
Solana,138.88,2025-11-14 19:43:01.570180
XRP,2.26,2025-11-14 19:43:01.570180
Dogecoin,0.1596,2025-11-14 19:43:01.570180
Bitcoin,95467.03,2025-11-14 19:44:05.499839
Ethereum,3131.5,2025-11-14 19:44:05.499839
BNB,909.12,2025-11-14 19:44:05.499839
Solana,139.42,2025-11-14 19:44:05.499839
